date, pm25
2023/4/2, 27
2023/4/3, 20
2023/4/4, 17
2023/4/5, 11
2023/4/6, 21
2023/4/7, 19
2023/4/8, 20
2023/4/9, 22
2023/4/10, 16
2023/4/12, 40
2023/4/13, 41
2023/4/14, 34
2023/4/15, 25
2023/4/16, 28
2023/4/17, 22
2023/4/18, 34
2023/4/19, 35
2023/4/20, 35
2023/4/21, 38
2023/4/22, 56
2023/4/23, 54
2023/4/24, 51
2023/4/25, 43
2023/4/26, 76
2023/4/27, 99
2023/4/28, 66
2023/4/29, 70
2023/4/30, 71
2023/1/3, 22
2023/1/4, 26
2023/1/5, 17
2023/1/6, 25
2023/1/7, 30
2023/1/8, 24
2023/1/9, 15
2023/1/10, 30
2023/1/11, 28
2023/1/12, 24
2023/1/13, 20
2023/1/14, 18
2023/1/15, 22
2023/1/16, 21
2023/1/24, 35
2023/1/25, 26
2023/1/26, 30
2023/1/27, 37
2023/1/28, 22
2023/1/29, 19
2023/1/30, 17
2023/1/31, 24
2023/2/1, 26
2023/2/2, 25
2023/2/3, 27
2023/2/4, 26
2023/2/5, 20
2023/2/6, 22
2023/2/7, 20
2023/2/8, 19
2023/2/9, 18
2023/2/10, 26
2023/2/11, 26
2023/2/12, 30
2023/2/13, 17
2023/2/14, 25
2023/2/15, 17
2023/2/16, 9
2023/2/17, 30
2023/2/18, 19
2023/2/19, 20
2023/2/20, 19
2023/2/21, 18
2023/2/22, 29
2023/2/23, 19
2023/2/24, 28
2023/2/25, 23
2023/2/26, 38
2023/3/2, 30
2023/3/3, 37
2023/3/4, 42
2023/3/5, 27
2023/3/6, 22
2023/3/7, 19
2023/3/8, 20
2023/3/9, 30
2023/3/10, 48
2023/3/11, 41
2023/3/12, 36
2023/3/13, 37
2023/3/14, 52
2023/3/15, 49
2023/3/16, 50
2023/3/17, 44
2023/3/18, 56
2023/3/19, 57
2023/3/20, 39
2023/3/21, 38
2023/3/22, 22
2023/3/23, 26
2023/3/24, 24
2023/3/25, 31
2023/3/26, 31
2023/3/27, 27
2023/3/28, 30
2023/3/29, 22
2023/3/30, 31
2023/3/31, 22
2023/4/1, 27
2022/10/2, 27
2022/10/3, 36
2022/10/4, 37
2022/10/5, 39
2022/10/6, 46
2022/10/7, 28
2022/10/8, 33
2022/10/9, 40
2022/10/10, 25
2022/10/11, 38
2022/10/12, 34
2022/10/13, 43
2022/10/14, 48
2022/10/15, 52
2022/10/16, 42
2022/10/17, 37
2022/10/18, 36
2022/10/19, 40
2022/10/20, 41
2022/10/21, 28
2022/10/22, 46
2022/10/23, 30
2022/10/24, 24
2022/10/25, 32
2022/10/26, 39
2022/10/27, 24
2022/10/28, 24
2022/10/29, 34
2022/10/30, 41
2022/10/31, 22
2022/11/1, 40
2022/11/2, 36
2022/11/3, 44
2022/11/4, 42
2022/11/5, 38
2022/11/6, 19
2022/11/7, 15
2022/11/8, 27
2022/11/9, 49
2022/11/10, 58
2022/11/11, 49
2022/11/12, 32
2022/11/13, 43
2022/11/14, 27
2022/11/15, 25
2022/11/16, 22
2022/11/17, 17
2022/11/18, 49
2022/11/19, 40
2022/11/20, 33
2022/11/21, 24
2022/11/22, 33
2022/11/23, 37
2022/11/24, 42
2022/11/25, 33
2022/11/26, 25
2022/11/27, 37
2022/11/28, 41
2022/11/29, 37
2022/11/30, 21
2022/12/1, 31
2022/12/2, 17
2022/12/3, 22
2022/12/4, 31
2022/12/5, 17
2022/12/6, 26
2022/12/7, 23
2022/12/8, 25
2022/12/9, 37
2022/12/10, 45
2022/12/11, 23
2022/12/12, 18
2022/12/13, 22
2022/12/14, 35
2022/12/15, 41
2022/12/16, 30
2022/12/17, 22
2022/12/18, 30
2022/12/19, 36
2022/12/20, 39
2022/12/21, 31
2022/12/22, 32
2022/12/23, 29
2022/12/24, 28
2022/12/25, 30
2022/12/26, 33
2022/12/27, 28
2022/12/28, 35
2022/12/29, 28
2022/12/30, 22
2022/12/31, 18
2023/1/1, 26
2023/1/2, 29
2022/7/2, 29
2022/7/3, 25
2022/7/4, 25
2022/7/5, 42
2022/7/6, 27
2022/7/7, 32
2022/7/8, 25
2022/7/9, 25
2022/7/10, 19
2022/7/11, 20
2022/7/12, 22
2022/7/13, 42
2022/7/14, 38
2022/7/15, 34
2022/7/16, 37
2022/7/17, 35
2022/7/18, 18
2022/7/19, 32
2022/7/20, 32
2022/7/21, 15
2022/7/22, 38
2022/7/23, 46
2022/7/24, 28
2022/7/25, 45
2022/7/26, 49
2022/7/27, 38
2022/7/28, 31
2022/7/29, 36
2022/7/30, 33
2022/7/31, 20
2022/8/1, 15
2022/8/2, 16
2022/8/3, 24
2022/8/4, 41
2022/8/11, 34
2022/8/12, 37
2022/8/13, 54
2022/8/14, 50
2022/8/15, 47
2022/8/16, 31
2022/8/17, 26
2022/8/18, 44
2022/8/19, 34
2022/8/20, 50
2022/8/21, 50
2022/8/22, 47
2022/8/23, 48
2022/8/24, 57
2022/8/25, 43
2022/8/26, 53
2022/8/27, 38
2022/8/28, 37
2022/8/29, 39
2022/8/30, 41
2022/8/31, 41
2022/9/1, 49
2022/9/2, 45
2022/9/3, 38
2022/9/4, 47
2022/9/5, 31
2022/9/6, 43
2022/9/7, 36
